Village_Name,Gram_Panchayat,Tehsil,District,State,Water_Scarcity_Index,Groundwater_Level,Soil_Moisture_Index,Rainfall_Category,Drought_Prone,Flood_Prone,Forest_Cover_percent,Forest_Density,NTFP_Potential_Index,Soil_Erosion_Risk,Land_Slope_Degree,Elevation_m,Distance_Road_km,Distance_Market_km,Distance_Town_km,Terrain_Difficulty,Tap_Water_Coverage_percent,FHTC_percent,Primary_Drinking_Source,Sanitation_Coverage_percent,Electricity_Coverage_percent,Hours_Electricity_per_Day,Road_Connectivity_Status,PMGSY_Road_Completed,Distance_Primary_School_km,Distance_Secondary_School_km,School_in_Village,Literacy_Rate_percent,Female_Literacy_Rate_percent,Distance_Health_Subcenter_km,Distance_PHC_km,Immunization_Rate_percent,Total_Households,Total_Population,ST_Population_percent,PVTG_Flag,Female_Headed_HH_percent,Landless_HH_percent,Migration_Rate_percent,Wage_Labour_Dependence_percent,Agriculture_Dependence_percent,NTFP_Dependence_percent,Avg_Agricultural_Productivity,Rural_Poverty_Rate_percent,Unemployment_Rate_percent,SHG_Presence,Number_of_SHGs,PMAY_Completed_Houses_percent,Kutcha_Houses_percent,JJM_Coverage_percent,JJM_Projects_in_Progress,MGNREGA_Persondays_Last_Year,MGNREGA_Assets_Created_Count,SHG_Count,Village_Covered_under_NRLM,DAJGUA_Completed_Count,DAJGUA_Status,Climate_Vulnerability_Score,Disaster_History_Score,Forest_Fire_Incidents_5yrs,Malnutrition_Risk_Index,Water_Quality_Risk
Village_11,GP Jobat,Sendhwa,Dindori,Chhattisgarh,60.46,Deep,49.2,Medium,No,No,49.78,Dense,50.48,High,11.61,1190.65,12.8,24.93,2.83,Easy,47.55,15.5,Tap,34.53,60.27,5.74,Good,No,8.01,14.9,No,21.45,20.75,13.6,29.32,68.05,664,3556,78.36,No,32.5,32.19,5.26,67.76,44.7,74.29,Medium,44.61,3.0,Yes,58,58.28,52.1,35.02,8,28095,9,13,No,4,In Progress,0.82,92.25,12,46.83,Medium
Village_12,GP Bajag,Pati,Umaria,Jharkhand,59.75,Shallow,19.57,High,Yes,Yes,74.97,Open,98.96,High,17.24,276.76,9.66,4.55,50.7,Moderate,93.43,51.12,Handpump,97.58,74.84,4.94,Poor,Yes,9.68,4.96,No,29.44,13.31,8.79,11.5,50.34,889,1279,92.6,No,35.59,18.27,24.77,32.48,73.26,67.96,Medium,35.78,34.55,Yes,44,39.12,56.19,40.2,6,41470,22,12,No,13,In Progress,9.79,72.15,13,64.84,Medium
Village_13,GP Niwas,Pali,Anuppur,Jharkhand,72.15,Shallow,71.84,Medium,Yes,No,42.91,Moderate,93.34,Low,24.39,482.26,5.62,35.94,34.39,Difficult,12.92,12.45,Handpump,36.96,16.74,20.17,Moderate,Yes,0.96,19.12,Yes,21.27,15.12,14.86,8.65,80.39,165,12523,9.18,Yes,21.86,30.73,18.5,18.35,74.79,25.81,High,25.26,23.88,No,56,39.02,49.52,39.66,4,40467,20,14,No,4,Completed,31.53,10.78,2,5.87,High
Village_14,GP Bajag,Pali,Barwani,Odisha,90.84,Shallow,47.57,Medium,Yes,Yes,66.48,Open,98.11,Medium,4.36,934.47,3.85,26.6,33.9,Moderate,13.47,39.34,Tap,42.38,22.28,12.17,Moderate,Yes,5.8,9.83,No,83.88,46.47,2.5,4.92,32.11,255,414,66.46,No,27.37,7.16,26.47,53.08,18.88,88.02,Low,19.51,7.52,Yes,22,12.12,58.54,15.37,4,28764,47,14,Yes,17,In Progress,92.17,97.54,18,55.68,Medium
Village_15,GP Pati,Pali,Anuppur,Chhattisgarh,53.61,Shallow,33.78,Low,Yes,No,24.74,Open,34.63,High,0.68,1157.43,8.91,20.21,39.39,Moderate,77.07,4.23,None,0.36,38.21,20.96,Good,No,7.24,7.75,Yes,50.6,27.71,18.79,14.07,30.89,672,11863,83.87,No,11.79,65.18,18.0,15.81,16.95,70.39,Medium,58.63,11.41,No,4,59.01,35.37,63.77,0,8033,21,9,No,1,In Progress,53.81,29.19,14,53.6,Low
Village_16,GP Bajag,Pati,Anuppur,Madhya Pradesh,93.38,Medium,76.5,Medium,No,Yes,27.97,Moderate,64.74,Low,22.21,1432.01,16.87,36.26,47.79,Difficult,89.83,9.76,Spring,42.3,83.26,18.55,Moderate,Yes,9.89,5.84,Yes,45.3,60.8,6.66,28.98,56.79,463,5847,47.05,No,23.01,17.57,4.37,58.87,32.67,70.58,High,9.87,28.67,No,18,98.1,30.6,81.55,9,16792,3,2,Yes,5,In Progress,37.88,29.87,23,34.09,Low
Village_17,GP Pushparajgarh,Bajag,Dindori,Madhya Pradesh,30.82,Shallow,63.95,Low,Yes,No,45.51,Moderate,93.2,Low,19.03,1414.48,2.24,33.48,18.36,Easy,0.68,93.79,None,62.07,30.41,12.52,Good,Yes,0.86,16.19,No,22.51,28.06,1.98,24.17,34.33,190,7478,2.16,Yes,0.7,38.21,28.89,23.3,99.64,89.27,High,64.35,24.1,No,43,39.92,6.75,31.92,9,2881,42,22,No,12,Not Started,97.16,70.75,13,73.11,Low
Village_18,GP Niwas,Pali,Barwani,Jharkhand,61.96,Shallow,59.5,Medium,Yes,Yes,32.82,Moderate,68.43,High,22.4,587.62,13.85,18.21,42.8,Easy,13.63,11.11,None,71.28,27.31,11.91,Moderate,Yes,6.77,13.78,No,21.32,21.94,18.43,23.06,43.41,647,5544,25.76,Yes,36.61,67.84,2.34,12.94,26.68,29.92,Low,21.22,20.61,Yes,46,90.46,1.39,34.53,5,47977,12,25,No,19,In Progress,82.24,55.52,12,82.49,Medium
Village_19,GP Pushparajgarh,Bajag,Mandla,Madhya Pradesh,67.62,Shallow,17.96,Low,No,No,36.06,Moderate,29.21,Medium,32.21,312.23,5.16,29.16,17.99,Difficult,34.97,65.4,Spring,95.23,14.45,11.4,Moderate,Yes,2.78,5.04,No,77.68,18.87,17.73,21.46,49.55,685,13570,47.96,No,36.78,64.43,0.67,50.5,71.05,50.49,Medium,19.07,29.78,No,57,93.42,57.09,59.88,8,47717,23,29,Yes,16,Not Started,64.42,8.42,24,93.5,Medium
Village_20,GP Pushparajgarh,Jobat,Barwani,Jharkhand,61.97,Shallow,43.45,High,No,Yes,27.73,Open,99.57,High,8.62,945.69,15.51,8.5,26.78,Easy,92.03,98.69,None,97.5,55.09,18.3,Poor,Yes,1.48,10.97,Yes,27.74,65.56,1.3,15.76,84.81,288,3577,60.48,Yes,19.46,53.67,11.86,18.94,9.32,85.69,High,61.29,6.95,Yes,46,41.57,47.38,88.58,8,39644,68,16,No,12,Not Started,33.21,39.01,24,38.11,Medium
Village_21,GP Jobat,Sendhwa,Jhabua,Jharkhand,69.13,Medium,0.79,Low,Yes,No,30.62,Open,39.9,Medium,22.54,965.85,22.21,13.9,52.14,Difficult,42.58,17.52,None,25.38,50.8,15.26,Poor,No,7.46,8.45,Yes,44.84,64.84,2.18,20.14,46.17,180,2502,26.24,No,24.58,33.07,3.67,98.52,58.99,45.38,Medium,40.75,10.36,Yes,43,2.23,53.52,78.77,7,44774,61,29,Yes,17,Completed,86.64,54.97,21,54.04,Medium
Village_22,GP Jobat,Niwas,Dindori,Odisha,58.2,Deep,78.07,Medium,No,Yes,35.04,Open,58.85,Medium,24.59,1115.07,13.85,2.61,48.03,Difficult,94.81,12.66,Spring,73.26,61.67,8.45,Good,Yes,5.68,14.42,Yes,20.44,83.41,3.08,7.23,65.9,416,6460,77.41,Yes,36.32,57.31,10.89,17.04,65.55,21.18,High,60.07,34.87,No,20,63.86,58.34,4.77,5,32400,60,34,Yes,3,In Progress,9.03,15.83,24,68.93,Medium
Village_23,GP Pati,Sendhwa,Alirajpur,Chhattisgarh,38.06,Deep,25.82,Medium,Yes,Yes,40.39,Open,0.53,High,22.55,1449.1,13.21,6.8,28.4,Moderate,15.52,46.76,Spring,35.36,98.51,11.35,Good,No,7.74,17.73,No,67.75,11.28,1.64,3.32,72.19,384,7966,70.6,No,1.53,42.17,21.69,52.34,60.2,47.94,Low,39.26,24.63,No,21,35.76,27.57,51.86,9,49554,10,26,No,14,Not Started,98.8,28.14,7,64.39,Low
Village_24,GP Ghughri,Niwas,Mandla,Chhattisgarh,10.15,Deep,99.72,High,Yes,No,78.79,Moderate,85.22,High,9.55,140.16,0.49,29.35,57.11,Difficult,98.37,39.41,Spring,39.77,5.91,15.18,Poor,Yes,0.5,7.92,Yes,32.55,20.9,10.9,11.2,32.88,309,8001,94.06,No,20.64,50.07,19.54,40.23,75.84,28.87,Low,12.0,14.71,No,58,97.72,27.17,38.85,1,33638,60,2,No,7,Not Started,65.17,40.36,9,81.42,High
Village_25,GP Ghughri,Ghughri,Dindori,Jharkhand,81.7,Shallow,77.95,High,Yes,Yes,78.08,Dense,61.89,Medium,21.37,1411.83,3.73,33.06,19.44,Moderate,86.64,57.49,Handpump,71.48,17.84,12.06,Good,Yes,0.13,12.93,No,21.9,45.24,5.69,14.15,78.91,332,4956,97.7,Yes,32.25,1.87,9.43,67.84,52.5,52.7,High,0.72,34.08,No,16,34.13,8.54,82.13,8,15380,94,31,No,17,Not Started,7.64,97.5,20,37.24,Medium
Village_26,GP Bajag,Pali,Dindori,Jharkhand,79.79,Medium,98.33,Low,Yes,No,36.9,Dense,86.46,High,33.9,92.45,19.47,38.22,50.69,Easy,30.75,90.11,Spring,84.2,15.47,9.87,Good,Yes,9.18,2.74,Yes,47.78,31.85,18.82,12.57,84.36,873,9680,11.01,No,7.14,4.34,10.88,5.58,46.69,56.15,Medium,68.62,20.66,No,42,11.2,15.62,27.12,7,48019,88,28,No,0,Completed,24.53,80.8,3,43.9,Low
Village_27,GP Bajag,Ghughri,Dindori,Jharkhand,73.22,Deep,7.28,Low,No,No,6.37,Moderate,79.35,High,13.18,936.23,6.14,38.54,12.33,Moderate,83.23,90.37,Handpump,50.9,97.24,16.66,Good,Yes,8.92,1.39,No,47.55,70.05,0.43,29.57,44.7,325,7547,4.87,Yes,28.7,64.32,26.26,54.07,30.05,27.95,Medium,16.61,6.33,No,27,31.41,16.7,49.87,8,12065,30,25,No,1,Completed,96.45,75.08,11,94.39,Medium
Village_28,GP Ghughri,Pati,Alirajpur,Odisha,19.11,Deep,67.16,High,No,No,49.8,Dense,14.09,Medium,7.3,868.2,13.29,38.78,55.61,Moderate,57.11,93.52,Spring,58.2,5.58,21.29,Moderate,Yes,0.15,19.02,No,47.09,12.66,0.04,5.67,67.81,433,14182,90.93,Yes,14.43,33.75,5.96,43.57,34.04,11.3,Low,48.39,31.84,Yes,55,22.45,18.17,6.82,8,27312,9,25,Yes,10,Not Started,97.05,14.93,23,43.13,Medium
Village_29,GP Pati,Pati,Anuppur,Madhya Pradesh,36.01,Medium,23.4,High,Yes,No,13.36,Moderate,34.36,Low,8.61,388.82,20.57,12.68,21.52,Easy,94.81,7.18,Tap,68.97,33.59,22.41,Moderate,Yes,0.44,11.35,Yes,34.37,23.26,0.01,6.73,35.26,928,13271,33.36,No,1.91,31.95,17.69,23.85,40.96,30.97,High,38.39,23.69,Yes,21,90.02,6.66,36.66,6,49180,76,0,Yes,18,Completed,1.21,56.57,4,41.31,Low
Village_30,GP Pati,Jobat,Mandla,Odisha,6.99,Deep,93.14,Medium,Yes,No,75.59,Moderate,76.96,Low,19.1,644.17,17.93,27.19,15.77,Difficult,49.7,72.51,Tap,27.65,14.86,3.59,Good,No,0.27,12.51,Yes,80.16,22.13,5.84,20.63,84.62,97,11813,3.66,Yes,17.49,7.17,20.53,65.86,16.12,97.94,Medium,52.51,31.33,No,18,8.47,0.23,30.5,2,42767,92,5,No,5,In Progress,87.82,6.5,20,45.59,Low
Village_31,GP Jobat,Bajag,Sheopur,Madhya Pradesh,53.26,Shallow,81.6,Low,Yes,No,70.0,Open,53.16,Low,18.06,1342.35,0.64,24.89,32.32,Easy,98.25,75.12,Handpump,96.81,58.73,7.4,Good,No,9.7,15.4,Yes,79.27,10.43,6.01,2.19,81.49,626,2235,27.38,Yes,20.69,6.71,25.13,44.7,89.9,86.1,High,7.4,11.59,No,38,23.39,48.0,25.22,6,528,40,2,No,2,Completed,14.88,54.87,14,65.04,Low
Village_32,GP Ghughri,Pati,Umaria,Odisha,29.46,Shallow,1.03,Medium,No,No,23.85,Open,66.6,High,7.19,1096.02,6.53,28.11,36.47,Difficult,82.63,40.63,Tap,40.06,95.53,12.36,Moderate,Yes,6.42,18.33,Yes,84.56,38.19,9.48,20.47,78.15,578,5730,26.8,Yes,27.26,69.85,22.46,29.83,57.69,33.91,Medium,59.68,20.41,Yes,2,28.0,52.62,4.14,0,18180,44,14,Yes,17,In Progress,13.65,55.43,15,72.3,Medium
Village_33,GP Bajag,Bajag,Dindori,Odisha,54.09,Medium,24.87,Low,Yes,No,27.1,Open,60.58,High,29.91,264.04,17.69,6.85,32.1,Difficult,95.92,17.22,Tap,64.44,70.92,20.74,Poor,No,3.34,17.7,Yes,25.65,42.11,18.75,25.76,30.41,478,3303,4.69,Yes,8.34,26.23,21.18,41.14,83.72,48.08,Low,36.31,0.6,No,40,38.46,33.37,19.81,1,8610,31,26,No,7,In Progress,14.94,9.76,17,83.97,Medium
Village_34,GP Niwas,Pati,Jhabua,Odisha,22.49,Shallow,3.29,Low,No,Yes,52.19,Open,29.68,High,14.86,1325.31,20.57,22.26,27.43,Moderate,51.91,84.57,Tap,17.1,46.4,7.65,Poor,Yes,3.21,12.17,No,75.42,20.9,14.77,21.98,67.46,776,7116,99.34,Yes,9.97,31.22,15.41,95.41,55.37,64.6,Medium,57.99,28.99,No,7,98.78,2.41,59.44,7,26553,7,39,No,1,Completed,6.81,60.52,10,53.35,Medium
Village_35,GP Ghughri,Bajag,Barwani,Jharkhand,47.72,Deep,51.95,Medium,Yes,No,75.25,Dense,2.48,High,31.6,724.84,0.54,38.1,57.94,Difficult,94.69,95.38,Handpump,94.14,19.05,11.6,Moderate,No,9.93,14.46,No,57.98,82.22,14.86,5.75,53.12,322,11117,1.14,Yes,9.18,60.64,19.45,79.0,33.29,76.33,High,17.71,1.52,Yes,49,74.32,48.39,16.96,9,24489,41,38,Yes,12,Not Started,26.6,68.22,7,71.77,High
Village_36,GP Niwas,Jobat,Dindori,Chhattisgarh,8.06,Deep,10.48,High,Yes,No,40.09,Dense,41.02,High,26.48,1070.8,7.75,23.87,24.94,Difficult,85.73,16.7,Spring,13.61,43.68,23.69,Poor,No,1.64,18.71,Yes,69.17,68.22,19.76,8.45,91.48,408,8992,65.09,Yes,24.06,24.0,8.52,64.8,89.78,92.92,Medium,38.13,35.96,No,0,50.23,8.38,68.4,6,8749,49,3,Yes,12,Not Started,68.0,41.64,15,64.74,Medium
Village_37,GP Niwas,Jobat,Alirajpur,Madhya Pradesh,22.11,Deep,17.84,High,No,No,1.24,Open,29.86,High,23.5,1056.56,17.0,18.79,12.76,Moderate,32.31,76.17,Spring,62.11,30.88,11.69,Poor,Yes,3.2,0.54,Yes,27.68,73.21,8.0,14.24,38.63,633,2921,88.68,No,35.59,45.31,28.45,92.75,68.35,17.72,High,47.56,37.98,No,38,66.86,3.77,90.95,5,42620,14,22,Yes,2,Completed,62.41,51.95,4,98.05,Medium
Village_38,GP Bajag,Ghughri,Umaria,Odisha,27.28,Shallow,11.88,Medium,Yes,No,21.4,Moderate,78.46,High,25.79,383.49,14.17,4.62,43.9,Easy,17.29,34.99,None,33.77,99.74,21.97,Good,No,5.9,0.44,Yes,57.78,22.34,18.93,22.88,35.35,638,7152,53.62,No,25.35,36.63,22.06,86.27,37.14,91.01,High,10.72,28.6,No,33,67.18,53.34,2.33,7,47576,56,46,No,1,Completed,9.11,64.15,18,43.54,High
Village_39,GP Pushparajgarh,Sendhwa,Jhabua,Telangana,0.32,Deep,35.84,Medium,No,Yes,13.87,Moderate,20.57,High,6.29,197.48,20.04,31.84,6.6,Difficult,43.5,64.66,None,20.59,82.32,2.29,Poor,Yes,5.53,8.44,Yes,21.89,63.86,2.35,21.42,34.64,295,12827,74.52,Yes,15.59,46.87,21.23,13.16,75.7,27.32,Low,23.82,9.55,Yes,2,62.62,55.51,97.52,8,19595,9,38,Yes,19,Not Started,66.88,47.01,18,52.94,Low
Village_40,GP Niwas,Pali,Jhabua,Telangana,3.32,Shallow,65.25,Medium,No,Yes,40.24,Moderate,92.94,Low,22.34,1048.79,1.54,31.67,30.77,Difficult,93.24,65.55,Handpump,72.27,35.1,7.89,Moderate,Yes,4.75,19.66,Yes,44.76,52.62,10.96,21.86,78.17,608,13567,77.21,Yes,23.76,1.65,17.85,72.92,34.23,12.42,Medium,42.31,21.93,No,39,80.47,50.45,74.41,2,7176,84,14,No,5,In Progress,16.76,20.85,7,10.0,High
Village_41,GP Niwas,Jobat,Dindori,Odisha,89.7,Deep,28.21,Medium,Yes,No,15.31,Moderate,77.05,Low,25.14,590.44,10.91,6.94,37.6,Easy,56.94,83.07,Tap,84.51,10.2,17.01,Poor,Yes,3.99,18.73,Yes,85.54,34.39,18.8,3.74,40.67,480,13003,29.62,No,8.3,28.93,26.75,59.35,74.22,57.01,Low,17.24,10.53,Yes,19,88.93,49.6,4.46,2,42859,89,7,No,17,In Progress,88.35,65.93,22,51.73,High
Village_42,GP Pushparajgarh,Niwas,Alirajpur,Telangana,37.73,Shallow,83.68,High,Yes,No,24.29,Moderate,55.25,Low,2.36,1477.79,12.65,22.63,40.83,Moderate,10.92,59.86,None,24.96,34.92,6.29,Poor,Yes,2.78,14.27,No,63.8,51.76,9.99,3.61,97.07,661,5217,61.6,Yes,35.1,30.26,21.41,4.36,60.7,12.88,Low,14.46,30.72,Yes,23,90.19,48.87,74.05,7,49435,36,1,Yes,3,In Progress,12.43,53.36,19,66.82,High
Village_43,GP Pushparajgarh,Jobat,Sheopur,Madhya Pradesh,10.44,Shallow,50.72,High,Yes,Yes,3.31,Dense,32.28,Low,34.49,984.26,1.24,14.25,26.3,Difficult,16.72,27.59,Spring,51.19,88.8,9.37,Good,No,4.01,8.44,Yes,49.22,18.61,7.12,0.13,93.58,183,2297,82.18,No,28.59,54.43,7.34,70.86,80.34,97.84,High,13.97,26.81,No,11,81.63,0.33,18.27,2,10282,18,12,Yes,16,Completed,36.3,70.34,22,12.97,Medium
Village_44,GP Bajag,Pali,Anuppur,Odisha,36.52,Medium,48.85,High,Yes,No,68.56,Dense,98.79,Low,34.87,1447.61,3.77,14.36,24.15,Easy,54.73,25.48,Tap,88.1,5.76,22.6,Poor,No,6.15,11.7,No,55.28,83.86,14.78,8.17,45.08,528,6831,50.87,No,26.86,64.69,8.25,74.72,56.05,80.07,Medium,16.8,27.89,No,9,84.88,27.02,28.7,3,29259,59,3,Yes,9,In Progress,55.15,58.24,11,6.19,Low
Village_45,GP Jobat,Pali,Anuppur,Jharkhand,38.3,Medium,32.31,High,Yes,No,74.2,Dense,48.49,Low,14.58,897.52,10.19,20.39,33.67,Difficult,26.46,93.91,Tap,82.56,58.99,1.36,Moderate,Yes,5.06,19.93,No,54.46,32.1,18.45,19.39,65.32,275,9430,90.03,No,8.62,18.71,0.39,9.09,73.28,62.18,High,11.3,24.57,Yes,46,89.34,20.31,28.74,3,18763,32,36,Yes,14,In Progress,94.29,69.52,14,68.2,Low
Village_46,GP Niwas,Sendhwa,Jhabua,Telangana,91.23,Medium,96.03,Low,Yes,Yes,36.42,Open,34.73,High,29.44,285.71,2.79,29.64,24.46,Easy,13.58,87.76,None,82.14,80.67,16.81,Poor,Yes,2.0,4.1,Yes,40.74,35.42,19.6,18.49,31.64,708,3288,51.68,No,8.79,3.93,22.07,29.81,17.21,63.95,High,38.88,3.86,Yes,52,6.86,11.64,74.16,4,16086,70,6,No,18,In Progress,63.77,12.2,4,27.91,High
Village_47,GP Pushparajgarh,Pali,Anuppur,Madhya Pradesh,34.06,Deep,97.62,Low,No,Yes,3.35,Dense,15.68,High,11.26,1029.54,3.22,25.51,30.13,Difficult,2.05,28.55,Tap,92.11,39.63,13.55,Moderate,Yes,8.92,3.64,Yes,27.26,65.74,13.2,6.28,41.28,938,11577,36.7,No,33.95,35.78,4.88,82.64,94.14,36.09,Medium,68.93,26.69,No,20,94.55,28.48,80.88,9,33246,95,38,Yes,19,Completed,12.79,85.43,22,64.88,Medium
Village_48,GP Jobat,Niwas,Sheopur,Chhattisgarh,65.42,Shallow,30.78,Low,No,No,47.69,Dense,27.2,Medium,22.58,163.01,4.49,2.42,58.01,Easy,9.91,42.39,Spring,38.43,92.01,21.35,Good,Yes,2.0,14.88,Yes,69.7,68.28,6.44,6.34,44.28,653,5393,13.46,No,28.54,61.33,16.52,34.93,42.67,79.42,Medium,29.95,26.64,Yes,56,15.27,20.86,43.54,7,7401,8,18,No,2,Completed,46.81,99.55,18,2.65,Low
Village_49,GP Ghughri,Ghughri,Alirajpur,Chhattisgarh,72.59,Medium,11.73,Low,Yes,Yes,15.11,Dense,39.5,High,2.03,1300.99,2.81,11.54,3.7,Easy,71.99,82.13,Tap,87.69,36.35,9.94,Moderate,No,1.77,19.85,Yes,31.34,23.71,16.5,9.06,45.21,323,10559,47.64,Yes,3.04,11.9,9.34,50.13,1.78,66.97,Low,59.53,16.32,Yes,26,7.7,52.22,23.55,8,23734,9,21,Yes,8,In Progress,52.15,74.5,12,9.76,High
