village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Gondwadi,GP Niwas,Sendhwa,Anuppur,Yes,Boundary segment 18,Yes,Khasra 483,Korku Pada,Yes,Monthly,Lac,46.92,Degraded,Yes,Low,Partial,Partial,Good
Gondwadi,GP Pati,Bajag,Alirajpur,Yes,Boundary segment 19,Yes,Khasra 454,Korku Pada,Yes,Rare,Multiple,55.05,Degraded,Yes,Medium,None,Partial,Poor
Mandla Pur,GP Bajag,Pali,Anuppur,No,Boundary segment 20,Yes,Khasra 330,Barwani Tola,No,Rare,Honey,33.07,Good,Yes,Low,Full,None,Good
Gondwadi,GP Bajag,Niwas,Umaria,No,Boundary segment 21,No,Khasra 403,Barwani Tola,No,Quarterly,Lac,8.61,Degraded,No,High,Full,None,Poor
Korku Pada,GP Ghughri,Niwas,Barwani,Yes,Boundary segment 22,No,Khasra 459,Jhabua Kheda,No,Quarterly,Lac,23.12,Degraded,No,Medium,Partial,None,Poor
Jhabua Kheda,GP Pati,Bajag,Anuppur,No,Boundary segment 23,No,Khasra 38,Dindori Gaon,No,Monthly,Bamboo,40.74,Moderate,No,Medium,Partial,None,Good
Barwani Tola,GP Bajag,Niwas,Umaria,No,Boundary segment 24,No,Khasra 133,Sheopur Pada,Yes,Rare,Honey,59,Degraded,No,Medium,None,None,Good
Mandla Pur,GP Ghughri,Sendhwa,Alirajpur,No,Boundary segment 25,No,Khasra 380,Gondwadi,No,Rare,Mahua,1.34,Moderate,No,Medium,Partial,None,Poor
Bhilapur,GP Niwas,Niwas,Sheopur,No,Boundary segment 26,Yes,Khasra 54,Sheopur Pada,No,Quarterly,Multiple,43.59,Moderate,No,Low,Full,Full,Poor
Korku Pada,GP Niwas,Ghughri,Anuppur,No,Boundary segment 27,No,Khasra 492,Sheopur Pada,No,Rare,Tendu Leaves,59.93,Good,Yes,Medium,Full,None,Moderate
Gondwadi,GP Niwas,Pati,Alirajpur,Yes,Boundary segment 28,No,Khasra 385,Baiga Chak,No,Quarterly,Multiple,24.3,Degraded,No,High,Partial,Partial,Good
Dindori Gaon,GP Pati,Sendhwa,Dindori,Yes,Boundary segment 29,Yes,Khasra 99,Barwani Tola,No,Monthly,Multiple,48.35,Good,No,Medium,Full,Full,Good
Gondwadi,GP Bajag,Jobat,Dindori,Yes,Boundary segment 30,No,Khasra 469,Mandla Pur,No,Rare,Tendu Leaves,41.63,Moderate,No,Medium,Partial,Partial,Poor
Korku Pada,GP Ghughri,Jobat,Alirajpur,No,Boundary segment 31,Yes,Khasra 104,Baiga Chak,No,Rare,Mahua,55.96,Degraded,No,Medium,Full,None,Moderate
Dindori Gaon,GP Bajag,Sendhwa,Alirajpur,Yes,Boundary segment 32,Yes,Khasra 313,Barwani Tola,Yes,Rare,Honey,70.82,Degraded,No,High,Full,Partial,Poor
Mandla Pur,GP Bajag,Sendhwa,Umaria,No,Boundary segment 33,Yes,Khasra 155,Jhabua Kheda,No,Quarterly,Lac,20.96,Moderate,Yes,High,Full,Full,Good
Bhilapur,GP Niwas,Pali,Mandla,Yes,Boundary segment 34,No,Khasra 34,Bhilapur,No,Rare,Bamboo,2.63,Degraded,Yes,Low,Full,Full,Poor
Baiga Chak,GP Pushparajgarh,Sendhwa,Barwani,Yes,Boundary segment 35,No,Khasra 455,Baiga Chak,No,Rare,Lac,25.93,Good,No,Medium,Partial,Partial,Good
Baiga Chak,GP Pushparajgarh,Pali,Sheopur,Yes,Boundary segment 36,No,Khasra 57,Barwani Tola,No,Monthly,Bamboo,33.91,Good,Yes,High,Full,Partial,Moderate
Gondwadi,GP Ghughri,Pati,Mandla,No,Boundary segment 37,Yes,Khasra 94,Jhabua Kheda,No,Quarterly,Honey,43.69,Degraded,Yes,High,Full,None,Moderate
Baiga Chak,GP Niwas,Bajag,Barwani,No,Boundary segment 38,Yes,Khasra 162,Sheopur Pada,Yes,Monthly,Mahua,34.49,Degraded,Yes,Medium,Full,Partial,Good
Jhabua Kheda,GP Pati,Pati,Barwani,Yes,Boundary segment 39,No,Khasra 110,Sheopur Pada,Yes,Quarterly,Mahua,14.39,Moderate,No,Low,Partial,None,Good
Bhilapur,GP Ghughri,Pali,Anuppur,No,Boundary segment 40,No,Khasra 28,Korku Pada,Yes,Rare,Honey,72.31,Moderate,No,Low,None,None,Moderate
Barwani Tola,GP Bajag,Pati,Alirajpur,Yes,Boundary segment 41,Yes,Khasra 325,Jhabua Kheda,Yes,Monthly,Mahua,32.46,Moderate,No,High,Full,None,Moderate
Mandla Pur,GP Bajag,Niwas,Umaria,Yes,Boundary segment 42,No,Khasra 389,Sheopur Pada,No,Quarterly,Honey,59.19,Degraded,No,Medium,Full,None,Moderate
Jhabua Kheda,GP Niwas,Bajag,Dindori,Yes,Boundary segment 43,Yes,Khasra 268,Mandla Pur,Yes,Monthly,Multiple,34.36,Degraded,Yes,Low,None,Partial,Good
Mandla Pur,GP Pati,Pati,Barwani,Yes,Boundary segment 44,Yes,Khasra 498,Sheopur Pada,No,Rare,Bamboo,59.08,Degraded,No,Low,Full,None,Moderate
Jhabua Kheda,GP Jobat,Pati,Anuppur,No,Boundary segment 45,No,Khasra 139,Gondwadi,No,Quarterly,Honey,66.7,Moderate,Yes,Low,Partial,Partial,Moderate
Korku Pada,GP Bajag,Sendhwa,Alirajpur,Yes,Boundary segment 46,No,Khasra 59,Baiga Chak,Yes,Monthly,Honey,24.3,Moderate,Yes,Low,None,None,Poor
Korku Pada,GP Ghughri,Pati,Sheopur,No,Boundary segment 47,No,Khasra 260,Dindori Gaon,No,Monthly,Lac,68.17,Good,No,High,Full,None,Good
Korku Pada,GP Niwas,Ghughri,Mandla,Yes,Boundary segment 48,Yes,Khasra 67,Sheopur Pada,Yes,Quarterly,Mahua,48.97,Moderate,Yes,Medium,Full,None,Moderate
Sheopur Pada,GP Pati,Sendhwa,Dindori,No,Boundary segment 49,Yes,Khasra 191,Bhilapur,Yes,Rare,Bamboo,2.68,Degraded,No,High,None,None,Good
Jhabua Kheda,GP Jobat,Ghughri,Barwani,No,Boundary segment 50,Yes,Khasra 368,Dindori Gaon,Yes,Rare,Tendu Leaves,60.45,Good,Yes,High,Full,Full,Good
Alirajpur Falia,GP Pati,Bajag,Umaria,No,Boundary segment 51,No,Khasra 323,Barwani Tola,No,Monthly,Lac,63.29,Good,No,Medium,Partial,Full,Moderate
Alirajpur Falia,GP Jobat,Pati,Sheopur,Yes,Boundary segment 52,No,Khasra 450,Barwani Tola,No,Monthly,Honey,23.82,Good,No,High,Partial,None,Good
Barwani Tola,GP Ghughri,Pali,Alirajpur,Yes,Boundary segment 53,No,Khasra 234,Alirajpur Falia,Yes,Rare,Mahua,77.19,Degraded,No,Low,Full,None,Good
Barwani Tola,GP Niwas,Ghughri,Sheopur,Yes,Boundary segment 54,No,Khasra 388,Alirajpur Falia,No,Monthly,Mahua,70.75,Degraded,Yes,Low,Partial,Full,Good
Korku Pada,GP Pati,Pali,Alirajpur,Yes,Boundary segment 55,Yes,Khasra 71,Alirajpur Falia,No,Quarterly,Lac,8.35,Degraded,No,Low,Partial,Full,Poor
Dindori Gaon,GP Bajag,Niwas,Umaria,No,Boundary segment 56,No,Khasra 480,Dindori Gaon,No,Monthly,Honey,22.11,Moderate,No,Medium,Full,Full,Moderate
Sheopur Pada,GP Jobat,Ghughri,Dindori,No,Boundary segment 57,No,Khasra 32,Gondwadi,Yes,Monthly,Tendu Leaves,1.51,Moderate,No,Low,None,None,Poor
Korku Pada,GP Ghughri,Ghughri,Mandla,No,Boundary segment 58,No,Khasra 46,Mandla Pur,Yes,Monthly,Honey,69.54,Moderate,Yes,Low,Full,Full,Good
Gondwadi,GP Pati,Jobat,Jhabua,No,Boundary segment 59,Yes,Khasra 1,Korku Pada,Yes,Monthly,Tendu Leaves,68.36,Good,Yes,Low,None,Partial,Moderate
Bhilapur,GP Pati,Bajag,Alirajpur,No,Boundary segment 60,Yes,Khasra 175,Bhilapur,No,Rare,Tendu Leaves,46.3,Degraded,Yes,High,None,Partial,Good
Baiga Chak,GP Ghughri,Bajag,Dindori,Yes,Boundary segment 61,Yes,Khasra 71,Sheopur Pada,Yes,Monthly,Mahua,3.28,Good,No,Low,None,Partial,Good
Gondwadi,GP Niwas,Bajag,Sheopur,No,Boundary segment 62,No,Khasra 367,Baiga Chak,Yes,Quarterly,Honey,24.79,Moderate,Yes,Medium,Partial,Full,Good
Jhabua Kheda,GP Ghughri,Niwas,Anuppur,No,Boundary segment 63,Yes,Khasra 418,Gondwadi,Yes,Monthly,Tendu Leaves,60.05,Degraded,Yes,Medium,None,None,Poor
Barwani Tola,GP Pushparajgarh,Jobat,Umaria,Yes,Boundary segment 64,Yes,Khasra 308,Barwani Tola,Yes,Monthly,Mahua,66.26,Moderate,Yes,Low,Full,None,Poor
Gondwadi,GP Pati,Pali,Mandla,Yes,Boundary segment 65,No,Khasra 435,Bhilapur,Yes,Monthly,Multiple,71.92,Good,No,High,Partial,None,Poor
Sheopur Pada,GP Bajag,Jobat,Dindori,No,Boundary segment 66,No,Khasra 49,Korku Pada,No,Rare,Lac,74,Moderate,Yes,Medium,None,None,Moderate
Mandla Pur,GP Niwas,Niwas,Jhabua,No,Boundary segment 67,No,Khasra 113,Gondwadi,Yes,Rare,Mahua,11.23,Moderate,No,Low,None,None,Poor
Barwani Tola,GP Niwas,Ghughri,Anuppur,No,Boundary segment 68,No,Khasra 340,Barwani Tola,No,Monthly,Multiple,73.17,Degraded,No,High,None,Partial,Moderate
Mandla Pur,GP Pushparajgarh,Sendhwa,Jhabua,No,Boundary segment 69,Yes,Khasra 391,Bhilapur,No,Quarterly,Lac,64.28,Degraded,Yes,High,Full,Partial,Good
Korku Pada,GP Pushparajgarh,Jobat,Barwani,No,Boundary segment 70,Yes,Khasra 196,Alirajpur Falia,No,Rare,Tendu Leaves,77.76,Degraded,Yes,Low,Full,None,Good
Barwani Tola,GP Bajag,Ghughri,Sheopur,Yes,Boundary segment 71,No,Khasra 43,Alirajpur Falia,Yes,Quarterly,Bamboo,4.63,Moderate,Yes,Low,Partial,None,Poor
Baiga Chak,GP Niwas,Sendhwa,Umaria,Yes,Boundary segment 72,Yes,Khasra 208,Barwani Tola,No,Monthly,Tendu Leaves,53.24,Moderate,Yes,Low,Partial,Full,Moderate
Bhilapur,GP Pati,Pali,Barwani,Yes,Boundary segment 73,No,Khasra 17,Baiga Chak,No,Quarterly,Bamboo,45.6,Good,No,Low,None,Full,Poor
Jhabua Kheda,GP Pati,Sendhwa,Jhabua,Yes,Boundary segment 74,No,Khasra 264,Jhabua Kheda,Yes,Quarterly,Lac,19.58,Degraded,Yes,Low,None,Full,Good
Mandla Pur,GP Pati,Bajag,Dindori,Yes,Boundary segment 75,Yes,Khasra 321,Sheopur Pada,Yes,Monthly,Mahua,4.28,Degraded,No,Medium,Partial,None,Good
Baiga Chak,GP Pushparajgarh,Niwas,Dindori,No,Boundary segment 76,No,Khasra 139,Alirajpur Falia,Yes,Rare,Honey,6.79,Degraded,Yes,High,Partial,None,Good
Korku Pada,GP Niwas,Sendhwa,Sheopur,Yes,Boundary segment 77,Yes,Khasra 364,Jhabua Kheda,No,Monthly,Bamboo,35.89,Good,Yes,High,None,Full,Moderate
Korku Pada,GP Niwas,Bajag,Dindori,No,Boundary segment 78,No,Khasra 397,Barwani Tola,No,Quarterly,Mahua,72.25,Moderate,Yes,Low,Full,Full,Good
Bhilapur,GP Pati,Ghughri,Mandla,No,Boundary segment 79,Yes,Khasra 240,Baiga Chak,Yes,Rare,Multiple,23.14,Good,Yes,Low,Partial,None,Moderate
Mandla Pur,GP Jobat,Jobat,Dindori,Yes,Boundary segment 80,No,Khasra 154,Baiga Chak,Yes,Quarterly,Lac,40.27,Good,No,High,Partial,Full,Poor
Jhabua Kheda,GP Niwas,Ghughri,Mandla,No,Boundary segment 81,No,Khasra 256,Mandla Pur,Yes,Monthly,Bamboo,4.74,Moderate,No,High,Partial,Full,Good
Baiga Chak,GP Niwas,Ghughri,Barwani,No,Boundary segment 82,Yes,Khasra 262,Mandla Pur,Yes,Monthly,Multiple,8.91,Good,No,Medium,None,None,Moderate
Baiga Chak,GP Niwas,Sendhwa,Mandla,Yes,Boundary segment 83,Yes,Khasra 363,Dindori Gaon,Yes,Quarterly,Mahua,51.43,Degraded,Yes,Low,Full,Partial,Moderate
Bhilapur,GP Niwas,Ghughri,Alirajpur,Yes,Boundary segment 84,Yes,Khasra 229,Mandla Pur,No,Quarterly,Lac,32.48,Moderate,No,Medium,None,Full,Good
Dindori Gaon,GP Bajag,Niwas,Jhabua,Yes,Boundary segment 85,Yes,Khasra 36,Alirajpur Falia,Yes,Monthly,Honey,78.73,Degraded,Yes,Medium,None,None,Poor
Barwani Tola,GP Ghughri,Jobat,Anuppur,No,Boundary segment 86,Yes,Khasra 83,Mandla Pur,Yes,Quarterly,Bamboo,41.94,Degraded,No,High,Partial,Partial,Poor
Jhabua Kheda,GP Niwas,Niwas,Alirajpur,Yes,Boundary segment 87,No,Khasra 32,Mandla Pur,Yes,Rare,Multiple,31.68,Degraded,Yes,Medium,Full,Partial,Poor
Sheopur Pada,GP Jobat,Niwas,Jhabua,Yes,Boundary segment 88,Yes,Khasra 63,Bhilapur,No,Monthly,Tendu Leaves,78.08,Moderate,No,High,Full,None,Moderate
Jhabua Kheda,GP Bajag,Bajag,Barwani,No,Boundary segment 89,Yes,Khasra 494,Alirajpur Falia,No,Quarterly,Multiple,51.94,Good,No,Low,Full,Full,Poor
Korku Pada,GP Bajag,Pali,Alirajpur,Yes,Boundary segment 90,No,Khasra 370,Barwani Tola,No,Monthly,Multiple,15.42,Moderate,Yes,High,Full,None,Moderate
Dindori Gaon,GP Bajag,Niwas,Sheopur,Yes,Boundary segment 91,Yes,Khasra 139,Sheopur Pada,Yes,Quarterly,Honey,51.8,Moderate,Yes,Low,Partial,Full,Poor
Barwani Tola,GP Jobat,Niwas,Mandla,Yes,Boundary segment 92,Yes,Khasra 485,Alirajpur Falia,No,Quarterly,Mahua,58.12,Degraded,Yes,Low,None,Full,Moderate
Dindori Gaon,GP Pushparajgarh,Niwas,Umaria,Yes,Boundary segment 93,Yes,Khasra 167,Sheopur Pada,No,Quarterly,Bamboo,28.42,Good,No,Low,None,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Pati,Sheopur,Yes,Boundary segment 94,No,Khasra 472,Barwani Tola,No,Quarterly,Bamboo,48.83,Moderate,Yes,High,Partial,Partial,Good
Baiga Chak,GP Bajag,Ghughri,Mandla,No,Boundary segment 95,Yes,Khasra 439,Barwani Tola,No,Monthly,Mahua,61.56,Degraded,Yes,Low,Full,None,Good
Sheopur Pada,GP Niwas,Bajag,Mandla,No,Boundary segment 96,No,Khasra 168,Bhilapur,No,Rare,Mahua,17.25,Degraded,No,Low,None,None,Moderate
Sheopur Pada,GP Ghughri,Bajag,Alirajpur,Yes,Boundary segment 97,Yes,Khasra 207,Baiga Chak,No,Quarterly,Lac,64.6,Degraded,Yes,Medium,Full,Partial,Good
Sheopur Pada,GP Jobat,Jobat,Umaria,No,Boundary segment 98,No,Khasra 213,Mandla Pur,Yes,Monthly,Tendu Leaves,22.58,Moderate,No,Medium,Full,None,Good
Mandla Pur,GP Jobat,Pati,Umaria,Yes,Boundary segment 99,No,Khasra 72,Sheopur Pada,Yes,Quarterly,Mahua,40.4,Good,No,Low,None,Full,Poor
Baiga Chak,GP Niwas,Niwas,Alirajpur,No,Boundary segment 100,Yes,Khasra 483,Dindori Gaon,No,Quarterly,Multiple,41.63,Good,No,Medium,Partial,None,Poor
Korku Pada,GP Pushparajgarh,Sendhwa,Alirajpur,Yes,Boundary segment 101,No,Khasra 470,Bhilapur,No,Quarterly,Mahua,9,Moderate,Yes,Low,Full,None,Moderate
Jhabua Kheda,GP Pati,Jobat,Umaria,No,Boundary segment 102,No,Khasra 164,Dindori Gaon,Yes,Rare,Bamboo,9.84,Good,No,Medium,Full,Partial,Poor
Barwani Tola,GP Niwas,Jobat,Jhabua,No,Boundary segment 103,No,Khasra 137,Mandla Pur,No,Monthly,Bamboo,3.02,Moderate,No,High,None,Full,Good
Barwani Tola,GP Ghughri,Pali,Barwani,No,Boundary segment 104,No,Khasra 259,Baiga Chak,No,Monthly,Lac,44.86,Moderate,Yes,High,None,Full,Moderate
Dindori Gaon,GP Pushparajgarh,Bajag,Mandla,Yes,Boundary segment 105,Yes,Khasra 454,Bhilapur,Yes,Monthly,Lac,8.88,Good,Yes,Medium,None,Partial,Good
Barwani Tola,GP Ghughri,Sendhwa,Anuppur,Yes,Boundary segment 106,Yes,Khasra 256,Gondwadi,No,Monthly,Tendu Leaves,42.74,Moderate,No,High,Partial,Full,Moderate
Alirajpur Falia,GP Pati,Pati,Anuppur,Yes,Boundary segment 107,Yes,Khasra 32,Baiga Chak,No,Monthly,Mahua,57.42,Good,Yes,High,Full,None,Poor
Jhabua Kheda,GP Niwas,Bajag,Dindori,No,Boundary segment 108,Yes,Khasra 420,Barwani Tola,No,Rare,Bamboo,53.54,Moderate,No,High,Partial,None,Good
Gondwadi,GP Niwas,Pali,Alirajpur,No,Boundary segment 109,Yes,Khasra 392,Alirajpur Falia,No,Monthly,Honey,74.57,Moderate,Yes,Medium,None,Full,Good
Sheopur Pada,GP Ghughri,Pali,Alirajpur,No,Boundary segment 110,No,Khasra 193,Barwani Tola,No,Quarterly,Lac,62.99,Moderate,Yes,High,None,Full,Good
Dindori Gaon,GP Jobat,Jobat,Mandla,No,Boundary segment 111,Yes,Khasra 435,Sheopur Pada,No,Monthly,Honey,8.68,Good,Yes,Low,Full,Full,Poor
Alirajpur Falia,GP Jobat,Bajag,Jhabua,Yes,Boundary segment 112,No,Khasra 483,Gondwadi,Yes,Rare,Mahua,54.82,Good,No,Low,Full,Full,Moderate
Barwani Tola,GP Bajag,Ghughri,Dindori,No,Boundary segment 113,No,Khasra 466,Bhilapur,No,Monthly,Tendu Leaves,65.93,Degraded,Yes,High,Full,None,Poor
Mandla Pur,GP Jobat,Pati,Sheopur,No,Boundary segment 114,No,Khasra 304,Dindori Gaon,No,Rare,Bamboo,41.83,Moderate,No,Medium,None,Full,Moderate
Gondwadi,GP Bajag,Bajag,Umaria,No,Boundary segment 115,No,Khasra 495,Gondwadi,Yes,Quarterly,Honey,46.33,Degraded,No,Low,None,Partial,Poor
Korku Pada,GP Jobat,Niwas,Dindori,No,Boundary segment 116,No,Khasra 211,Baiga Chak,No,Rare,Honey,34.49,Degraded,Yes,Low,None,Full,Moderate
Alirajpur Falia,GP Pati,Sendhwa,Mandla,Yes,Boundary segment 117,No,Khasra 325,Sheopur Pada,Yes,Quarterly,Tendu Leaves,47.82,Good,Yes,High,Partial,Partial,Moderate
Bhilapur,GP Jobat,Pati,Sheopur,Yes,Boundary segment 118,No,Khasra 239,Baiga Chak,No,Rare,Honey,9.12,Good,Yes,High,None,Partial,Good
Bhilapur,GP Pushparajgarh,Bajag,Dindori,Yes,Boundary segment 119,No,Khasra 132,Mandla Pur,Yes,Quarterly,Honey,27.28,Degraded,Yes,High,Full,Full,Moderate
Bhilapur,GP Ghughri,Bajag,Dindori,No,Boundary segment 120,No,Khasra 264,Gondwadi,No,Rare,Lac,17.69,Moderate,No,Medium,Partial,Full,Poor
Dindori Gaon,GP Jobat,Pati,Alirajpur,No,Boundary segment 121,No,Khasra 479,Gondwadi,No,Rare,Bamboo,44.02,Moderate,No,Low,Full,Partial,Poor
Dindori Gaon,GP Pushparajgarh,Pali,Dindori,No,Boundary segment 122,Yes,Khasra 351,Korku Pada,Yes,Monthly,Lac,65.07,Good,Yes,Medium,Full,Full,Moderate
Jhabua Kheda,GP Niwas,Jobat,Jhabua,No,Boundary segment 123,Yes,Khasra 119,Mandla Pur,Yes,Monthly,Lac,55.86,Degraded,No,Low,Partial,Partial,Poor
Sheopur Pada,GP Ghughri,Bajag,Sheopur,No,Boundary segment 124,Yes,Khasra 386,Jhabua Kheda,Yes,Monthly,Lac,4.48,Degraded,No,Medium,Full,None,Good
Bhilapur,GP Ghughri,Niwas,Sheopur,Yes,Boundary segment 125,No,Khasra 41,Baiga Chak,Yes,Monthly,Multiple,75.84,Good,Yes,Medium,None,Full,Moderate
Baiga Chak,GP Pushparajgarh,Pati,Sheopur,No,Boundary segment 126,No,Khasra 176,Gondwadi,Yes,Monthly,Lac,0.48,Degraded,No,High,Partial,Full,Poor
Sheopur Pada,GP Niwas,Pali,Mandla,No,Boundary segment 127,Yes,Khasra 420,Baiga Chak,No,Rare,Tendu Leaves,20.4,Moderate,Yes,Low,Partial,Partial,Moderate
Gondwadi,GP Niwas,Niwas,Anuppur,Yes,Boundary segment 128,No,Khasra 435,Gondwadi,Yes,Monthly,Lac,18.3,Good,No,High,Full,Full,Poor
Sheopur Pada,GP Pushparajgarh,Jobat,Barwani,Yes,Boundary segment 129,No,Khasra 239,Alirajpur Falia,No,Rare,Honey,67.93,Moderate,Yes,Medium,Full,None,Moderate
Korku Pada,GP Pushparajgarh,Bajag,Jhabua,No,Boundary segment 130,No,Khasra 36,Dindori Gaon,Yes,Monthly,Tendu Leaves,36.57,Moderate,Yes,Medium,Partial,Full,Poor
Barwani Tola,GP Pushparajgarh,Bajag,Barwani,Yes,Boundary segment 131,Yes,Khasra 157,Mandla Pur,No,Monthly,Lac,43.75,Degraded,No,High,None,None,Moderate
Barwani Tola,GP Jobat,Jobat,Dindori,Yes,Boundary segment 132,Yes,Khasra 449,Bhilapur,Yes,Rare,Mahua,60.33,Degraded,Yes,High,Full,Full,Poor
Gondwadi,GP Ghughri,Sendhwa,Anuppur,Yes,Boundary segment 133,No,Khasra 423,Alirajpur Falia,No,Quarterly,Lac,36.24,Degraded,No,High,None,Full,Good
Bhilapur,GP Pushparajgarh,Jobat,Umaria,No,Boundary segment 134,Yes,Khasra 216,Gondwadi,No,Rare,Mahua,7.23,Degraded,No,High,None,Partial,Poor
Sheopur Pada,GP Pushparajgarh,Jobat,Umaria,No,Boundary segment 135,Yes,Khasra 253,Barwani Tola,Yes,Monthly,Multiple,18.07,Degraded,Yes,Medium,None,Full,Good
Korku Pada,GP Jobat,Jobat,Anuppur,Yes,Boundary segment 136,No,Khasra 106,Alirajpur Falia,No,Quarterly,Mahua,48.94,Degraded,Yes,Medium,Full,None,Poor
Baiga Chak,GP Pushparajgarh,Jobat,Anuppur,Yes,Boundary segment 137,No,Khasra 248,Barwani Tola,Yes,Quarterly,Tendu Leaves,20.98,Degraded,Yes,Medium,None,Partial,Good
Baiga Chak,GP Jobat,Ghughri,Mandla,Yes,Boundary segment 138,Yes,Khasra 346,Korku Pada,Yes,Quarterly,Honey,63.01,Degraded,Yes,High,None,Partial,Good
Dindori Gaon,GP Pati,Niwas,Mandla,No,Boundary segment 139,No,Khasra 206,Gondwadi,No,Rare,Lac,11.3,Good,Yes,Medium,None,Partial,Poor
Barwani Tola,GP Jobat,Sendhwa,Jhabua,No,Boundary segment 140,Yes,Khasra 409,Baiga Chak,No,Rare,Bamboo,7.66,Moderate,Yes,Medium,Partial,None,Moderate
Baiga Chak,GP Bajag,Bajag,Jhabua,Yes,Boundary segment 141,No,Khasra 150,Dindori Gaon,No,Quarterly,Multiple,70.55,Moderate,Yes,High,Partial,None,Moderate
Baiga Chak,GP Jobat,Jobat,Jhabua,Yes,Boundary segment 142,Yes,Khasra 170,Dindori Gaon,No,Monthly,Lac,15.11,Degraded,No,Low,Partial,Full,Poor
Baiga Chak,GP Jobat,Bajag,Mandla,No,Boundary segment 143,Yes,Khasra 284,Barwani Tola,Yes,Monthly,Bamboo,21.25,Moderate,Yes,Medium,None,Full,Poor
